ts_ms,time_s,source,state,steer_mode,front_cm,left_cm,right_cm,servo_us
258305,7.604,T,STOP,STRAIGHT,80.7,79.8,198.8,1100.0
258308,7.607,RAW,ULTRASONIC_ONLY,,80.7,79.8,198.8,1100.0
258411,7.71,T,STOP,STRAIGHT,56.1,,198.0,1100.0
258414,7.713,RAW,ULTRASONIC_ONLY,,56.1,,198.0,1100.0
258563,7.862,T,STOP,CENTER,37.1,,198.4,1500.0
258566,7.865,RAW,ULTRASONIC_ONLY,,37.1,,198.4,1500.0
258666,7.965,T,STOP,CRUISE,127.8,78.9,,1500.0
258669,7.968,RAW,ULTRASONIC_ONLY,,127.8,78.9,,1500.0
258791,8.09,T,STOP,CRUISE,239.1,78.9,,1500.0
258794,8.093,RAW,ULTRASONIC_ONLY,,239.1,78.9,,1500.0
258941,8.24,T,STOP,CRUISE,245.6,79.4,,1500.0
258944,8.243,RAW,ULTRASONIC_ONLY,,245.6,79.4,,1500.0
259058,8.357,T,STOP,CRUISE,237.6,79.2,,1500.0
259061,8.36,RAW,ULTRASONIC_ONLY,,237.6,79.2,,1500.0
259176,8.475,T,STOP,CRUISE,109.5,79.0,,1500.0
259179,8.478,RAW,ULTRASONIC_ONLY,,109.5,79.0,,1500.0
259311,8.61,T,STOP,CRUISE,245.3,79.0,,1500.0
259313,8.612,RAW,ULTRASONIC_ONLY,,245.3,79.0,,1500.0
259435,8.734,T,STOP,CRUISE,238.1,79.0,,1500.0
259438,8.737,RAW,ULTRASONIC_ONLY,,238.1,79.0,,1500.0
259558,8.857,T,STOP,CRUISE,142.2,79.4,,1500.0
259561,8.86,RAW,ULTRASONIC_ONLY,,142.2,79.4,,1500.0
259669,8.968,T,STOP,CRUISE,97.8,79.3,,1500.0
259672,8.971,RAW,ULTRASONIC_ONLY,,97.8,79.3,,1500.0
259803,9.102,T,STOP,CRUISE,245.4,79.3,,1500.0
259806,9.105,RAW,ULTRASONIC_ONLY,,245.4,79.3,,1500.0
259940,9.239,T,STOP,CRUISE,246.9,78.9,,1500.0
259943,9.242,RAW,ULTRASONIC_ONLY,,246.9,78.9,,1500.0
260068,9.367,T,STOP,CRUISE,245.2,78.9,,1500.0
260071,9.37,RAW,ULTRASONIC_ONLY,,245.2,78.9,,1500.0
260186,9.485,T,STOP,CRUISE,246.4,78.9,,1500.0
260189,9.488,RAW,ULTRASONIC_ONLY,,246.4,78.9,,1500.0
260313,9.612,T,STOP,CRUISE,237.2,78.9,,1500.0
260316,9.615,RAW,ULTRASONIC_ONLY,,237.2,78.9,,1500.0
260431,9.73,T,STOP,CRUISE,96.8,79.0,,1500.0
260433,9.732,RAW,ULTRASONIC_ONLY,,96.8,79.0,,1500.0
260571,9.87,T,STOP,CRUISE,87.2,78.9,,1500.0
260574,9.873,RAW,ULTRASONIC_ONLY,,87.2,78.9,,1500.0
260679,9.978,T,STOP,CRUISE,95.6,79.4,,1500.0
260682,9.981,RAW,ULTRASONIC_ONLY,,95.6,79.4,,1500.0
260785,10.084,T,STOP,CRUISE,80.9,79.2,219.0,1500.0
260789,10.088,RAW,ULTRASONIC_ONLY,,80.9,79.2,219.0,1500.0
260894,10.193,T,STOP,CRUISE,86.0,79.3,199.5,1500.0
260897,10.196,RAW,ULTRASONIC_ONLY,,86.0,79.3,199.5,1500.0
261016,10.315,T,STOP,CRUISE,92.2,79.4,,1500.0
261018,10.317,RAW,ULTRASONIC_ONLY,,92.2,79.4,,1500.0
261123,10.422,T,STOP,CRUISE,85.4,79.2,206.9,1500.0
261126,10.425,RAW,ULTRASONIC_ONLY,,85.4,79.2,206.9,1500.0
261259,10.558,T,STOP,CRUISE,81.5,79.4,101.8,1500.0
261261,10.56,RAW,ULTRASONIC_ONLY,,81.5,79.4,101.8,1500.0
261386,10.685,T,STOP,CRUISE,83.8,79.3,,1500.0
261389,10.688,RAW,ULTRASONIC_ONLY,,83.8,79.3,,1500.0
261517,10.816,T,STOP,CRUISE,90.7,79.7,,1500.0
261520,10.819,RAW,ULTRASONIC_ONLY,,90.7,79.7,,1500.0
261624,10.923,T,STOP,CRUISE,126.1,79.7,,1500.0
261627,10.926,RAW,ULTRASONIC_ONLY,,126.1,79.7,,1500.0
261732,11.031,T,STOP,CRUISE,129.1,78.6,,1500.0
261735,11.034,RAW,ULTRASONIC_ONLY,,129.1,78.6,,1500.0
261873,11.172,T,STOP,CRUISE,135.1,79.8,,1500.0
261876,11.175,RAW,ULTRASONIC_ONLY,,135.1,79.8,,1500.0
262014,11.313,T,STOP,CRUISE,135.1,79.6,,1500.0
262016,11.315,RAW,ULTRASONIC_ONLY,,135.1,79.6,,1500.0
262130,11.429,T,STOP,CRUISE,137.1,79.6,,1500.0
262133,11.432,RAW,ULTRASONIC_ONLY,,137.1,79.6,,1500.0
262254,11.553,T,STOP,CRUISE,292.0,79.9,,1500.0
262257,11.556,RAW,ULTRASONIC_ONLY,,292.0,79.9,,1500.0
262397,11.696,T,STOP,CRUISE,127.8,79.8,,1500.0
262400,11.699,RAW,ULTRASONIC_ONLY,,127.8,79.8,,1500.0
262539,11.838,T,STOP,CRUISE,125.8,79.9,,1500.0
262542,11.841,RAW,ULTRASONIC_ONLY,,125.8,79.9,,1500.0
262668,11.967,T,STOP,CRUISE,125.7,78.2,,1500.0
262671,11.97,RAW,ULTRASONIC_ONLY,,125.7,78.2,,1500.0
262781,12.08,T,STOP,CRUISE,93.5,78.2,218.1,1500.0
262784,12.083,RAW,ULTRASONIC_ONLY,,93.5,78.2,218.1,1500.0
262931,12.23,T,STOP,CRUISE,119.8,79.0,,1500.0
